product_category_name_english,orders,revenue,unit
[uncategorized],1537,170726.63,1537
agro_industry_and_commerce,206,70566.1,206
air_conditioning,289,53323.56,289
art,197,23657.3,197
arts_and_craftmanship,24,1814.01,24
audio,362,50570.6,362
auto,4140,578966.65,4140
baby,2982,400421.84,2982
bed_bath_table,10953,1023434.76,10953
books_general_interest,537,45302.15,537
books_imported,57,4418.86,57
books_technical,263,18702.23,263
cds_dvds_musicals,14,730.0,14
christmas_supplies,150,8737.84,150
cine_photo,70,6674.47,70
computers,199,218684.14,199
computers_accessories,7644,888724.61,7644
consoles_games,1089,148003.37,1089
construction_tools_construction,916,142108.49,916
construction_tools_lights,301,39957.0,301
construction_tools_safety,183,38773.22,183
cool_stuff,3718,610204.1,3718
costruction_tools_garden,232,25096.28,232
costruction_tools_tools,103,15903.95,103
diapers_and_hygiene,37,1500.79,37
drinks,361,21529.84,361
dvds_blu_ray,61,4542.59,61
electronics,2729,155043.93,2729
fashio_female_clothing,45,2634.94,45
fashion_bags_accessories,1985,149329.39,1985
fashion_childrens_clothes,7,519.95,7
fashion_male_clothing,125,10452.33,125
fashion_shoes,257,23001.46,257
fashion_sport,29,2094.52,29
fashion_underwear_beach,127,9305.95,127
fixed_telephony,255,55315.21,255
flowers,33,1110.04,33
food,499,28731.15,499
food_drink,269,14942.88,269
furniture_bedroom,103,19051.8,103
furniture_decor,8160,711927.6900000001,8160
furniture_living_room,495,67350.7,495
furniture_mattress_and_upholstery,37,4323.38,37
garden_tools,4268,470495.27999999997,4268
health_beauty,9465,1233131.72,9465
home_appliances,754,78832.48,754
home_appliances_2,231,107953.95,231
home_comfort_2,30,760.27,30
home_confort,429,58008.450000000004,429
home_construction,596,81407.57,596
housewares,6795,615628.69,6795
industry_commerce_and_business,265,38498.81,265
kitchen_dining_laundry_garden_furniture,274,45531.98,274
la_cuisine,14,2054.99,14
luggage_accessories,1077,138701.63,1077
market_place,305,27795.77,305
music,38,6034.35,38
musical_instruments,651,184315.74,651
office_furniture,1668,268154.31,1668
party_supplies,42,4465.1900000000005,42
pc_gamer,8,1306.95,8
perfumery,3340,390144.65,3340
pet_shop,1924,211695.64,1924
portable_kitchen_and_food_preparers,14,3933.63,14
security_and_services,2,283.28999999999996,2
signaling_and_security,197,21315.05,197
small_appliances,658,182754.12,658
small_appliances_home_oven_and_coffee,73,46589.56,73
sports_leisure,8431,954852.55,8431
stationery,2466,223788.69,2466
tablets_printing_image,83,7528.41,83
telephony,4430,309860.23,4430
toys,4030,471286.48,4030
watches_gifts,5859,1166176.98,5859
